timestamp,hostname,process,pid,message
Feb  4 12:29:41,combo,systemd,1,rsyslog.service: Sent signal SIGHUP to main process 705 (rsyslogd) on client request.
Feb  4 12:29:41,combo,systemd,1,logrotate.service: Deactivated successfully.
Feb  4 12:29:41,combo,systemd,1,Finished Rotate log files.
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5757] device (enp0s8): carrier: link connected
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5759] device (enp0s8): ip:dhcp4: restarting
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5919] dhcp4 (enp0s8): canceled DHCP transaction
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5919] dhcp4 (enp0s8): activation: beginning transaction (timeout in 45 seconds)
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5919] dhcp4 (enp0s8): state changed no lease
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5920] dhcp4 (enp0s8): activation: beginning transaction (timeout in 45 seconds)
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5925] device (enp0s8): ip:dhcp6: restarting
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5927] dhcp6 (enp0s8): canceled DHCP transaction
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5928] dhcp6 (enp0s8): activation: beginning transaction (timeout in 45 seconds)
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5932] device (enp0s3): carrier: link connected
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.5932] device (enp0s3): ip:dhcp4: restarting
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.6077] dhcp4 (enp0s3): canceled DHCP transaction
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.6077] dhcp4 (enp0s3): activation: beginning transaction (timeout in 45 seconds)
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.6077] dhcp4 (enp0s3): state changed no lease
Feb  4 12:29:43,combo,NetworkManager,691,<info>  [1707020983.6078] dhcp4 (enp0s3): activation: beginning transaction (timeout in 45 seconds)
Feb  4 12:29:44,combo,systemd,1,apt-daily-upgrade.service: Deactivated successfully.
Feb  4 12:29:44,combo,systemd,1,Finished Daily apt upgrade and clean activities.
Feb  4 12:29:44,combo,systemd,1,apt-daily-upgrade.service: Consumed 2.582s CPU time.
Feb  4 12:29:44,combo,NetworkManager,691,"<info>  [1707020984.2451] dhcp4 (enp0s8): state changed new lease, address=192.168.1.36"
Feb  4 12:29:44,combo,dbus-daemon,690,"[system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service' requested by ':1.7' (uid=0 pid=691 comm=""/usr/sbin/NetworkManager --no-daemon "" label=""unconfined"")"
Feb  4 12:29:44,combo,systemd,1,Starting Network Manager Script Dispatcher Service...
Feb  4 12:29:44,combo,dbus-daemon,690,[system] Successfully activated service 'org.freedesktop.nm_dispatcher'
Feb  4 12:29:44,combo,systemd,1,Started Network Manager Script Dispatcher Service.
Feb  4 12:29:51,combo,NetworkManager,691,<info>  [1707020991.4488] device (enp0s3): carrier: link connected
Feb  4 12:29:51,combo,NetworkManager,691,<info>  [1707020991.4489] device (enp0s3): ip:dhcp4: restarting
Feb  4 12:29:51,combo,NetworkManager,691,<info>  [1707020991.4635] dhcp4 (enp0s3): canceled DHCP transaction
Feb  4 12:29:51,combo,NetworkManager,691,<info>  [1707020991.4636] dhcp4 (enp0s3): activation: beginning transaction (timeout in 45 seconds)
Feb  4 12:29:51,combo,NetworkManager,691,"<info>  [1707020991.4672] dhcp4 (enp0s3): state changed new lease, address=10.0.2.15"
Feb  4 12:30:01,combo,systemd,1,NetworkManager-dispatcher.service: Deactivated successfully.
Feb  4 12:30:38,combo,CRON,4126,(root) CMD ([ -x /etc/init.d/anacron ] && if [ ! -d /run/systemd/system ]; then /usr/sbin/invoke-rc.d anacron start >/dev/null; fi)
Feb  4 12:30:44,combo,ubuntu-report,1781,"level=error msg=""data were not delivered successfully to metrics server, retrying in 1800s"""
Feb  4 12:31:31,combo,snapd,715,"storehelpers.go:791: cannot refresh: snap has no updates available: ""bare"", ""core20"", ""core22"", ""firefox"", ""gnome-3-38-2004"", ""gnome-42-2204"", ""gtk-common-themes"", ""snap-store"", ""snapd"", ""snapd-desktop-integration"""
Feb  4 12:34:41,combo,anacron,3983,Job `cron.daily' started
Feb  4 12:34:41,combo,anacron,4134,Updated timestamp for job `cron.daily' to 2024-02-04
Feb  4 12:34:41,combo,anacron,3983,Job `cron.daily' terminated
Feb  4 12:34:41,combo,anacron,3983,Normal exit (1 job run)
Feb  4 12:34:41,combo,systemd,1,anacron.service: Deactivated successfully.
Feb  4 12:34:41,combo,systemd,1,Started Run anacron jobs.
Feb  4 12:34:41,combo,anacron,4164,Anacron 2.3 started on 2024-02-04
Feb  4 12:34:41,combo,anacron,4164,Normal exit (0 jobs run)
Feb  4 12:34:41,combo,systemd,1,anacron.service: Deactivated successfully.
Feb  4 12:49:45,combo,systemd,1,Starting Daily apt download activities...
Feb  4 12:49:46,combo,systemd,1,Starting Update APT News...
Feb  4 12:49:46,combo,systemd,1,Starting Update the local ESM caches...
Feb  4 12:49:47,combo,systemd,1,apt-news.service: Deactivated successfully.
Feb  4 12:49:47,combo,systemd,1,Finished Update APT News.
Feb  4 12:49:48,combo,systemd,1,esm-cache.service: Deactivated successfully.
Feb  4 12:49:48,combo,systemd,1,Finished Update the local ESM caches.
Feb  4 12:49:58,combo,systemd,1,apt-daily.service: Deactivated successfully.
Feb  4 12:49:58,combo,systemd,1,Finished Daily apt download activities.
